domain,priority,public_service_layer,personal_data_likelihood,network_provider_hint,cloud_or_cdn_hint,network_jurisdiction_hint,unique_suppliers_count,us_supplier_count,high_risk_supplier_count,p1_questions_count,p2_questions_count,p3_questions_count,service_layers,example_suppliers,priority_reason
huizen.nl,P1,"A, direct gemeentelijk",Mogelijk,SIMgroep CDN,Gemeentelijke webleverancier,"Nederlandse leverancier, hostingketen verifieren",9,2,7,2,5,2,"mx_spf, frontend_scripts, network_hosting","Microsoft 365 / Exchange Online, YouTube, Zivver, TOPdesk, Flowmailer, Formulierenserver, SIMgroep, Siteimprove, +1 meer",2 P1-verificatievragen; 2 leverancier(s) met US-indicatie; 7 leverancier(s) met hoog datarisico
archiefgooienvechtstreek.nl,P1,"C, verbonden partij of samenwerking",Te beoordelen,Cloudflare,CDN/WAF,"VS leverancier, wereldwijde edge",3,2,2,2,0,1,"mx_spf, network_hosting, frontend_scripts","Microsoft 365 / Exchange Online, Cloudflare, Siteimprove",2 P1-verificatievragen; 2 leverancier(s) met US-indicatie; 2 leverancier(s) met hoog datarisico
bngbank.nl,P1,"D, leverancier of te verifieren",Te beoordelen,Microsoft,Cloud/SaaS,"VS leverancier, EU-regio mogelijk, tenantgegevens nodig",2,2,2,2,0,0,"mx_spf, frontend_scripts","Microsoft 365 / Exchange Online, YouTube",2 P1-verificatievragen; 2 leverancier(s) met US-indicatie; 2 leverancier(s) met hoog datarisico
archiefweb.eu,P1,"D, leverancier of te verifieren",Te beoordelen,"Cloudflare, Google","CDN/WAF, Cloud/SaaS","VS leverancier, regio en dataflow verifieren | VS leverancier, wereldwijde edge",2,2,1,1,1,0,"frontend_scripts, network_hosting","Google APIs, Cloudflare",1 P1-verificatievragen; 2 leverancier(s) met US-indicatie; 1 leverancier(s) met hoog datarisico
belastingenhbl.nl,P1,"B, uitvoeringssite",Waarschijnlijk,"Hostnet, SIMgroep CDN","Gemeentelijke webleverancier, Hosting","Nederlandse hostingindicatie | Nederlandse leverancier, hostingketen verifieren",4,1,2,1,1,2,"mx_spf, network_hosting, frontend_scripts","Microsoft 365 / Exchange Online, SIMgroep, Siteimprove, ReadSpeaker",1 P1-verificatievragen; 1 leverancier(s) met US-indicatie; 2 leverancier(s) met hoog datarisico
dekringloper.nl,P1,"D, leverancier of te verifieren",Te beoordelen,Google,Cloud/SaaS,"VS leverancier, regio en dataflow verifieren",2,1,2,1,1,0,"frontend_scripts, mx_spf","Google Tag Manager, Zivver",1 P1-verificatievragen; 1 leverancier(s) met US-indicatie; 2 leverancier(s) met hoog datarisico
maatschappelijkezaken.nl,P1,"B, uitvoeringssite",Waarschijnlijk,"Hostnet, SIMgroep CDN","Gemeentelijke webleverancier, Hosting","Nederlandse hostingindicatie | Nederlandse leverancier, hostingketen verifieren",4,1,2,1,1,2,"mx_spf, network_hosting, frontend_scripts","Microsoft 365 / Exchange Online, SIMgroep, Siteimprove, ReadSpeaker",1 P1-verificatievragen; 1 leverancier(s) met US-indicatie; 2 leverancier(s) met hoog datarisico
ofgv.nl,P1,"C, verbonden partij of samenwerking",Mogelijk,Onbekend,Onbekend,Onbekend,2,1,2,1,1,0,mx_spf,"Microsoft 365 / Exchange Online, TOPdesk",1 P1-verificatievragen; 1 leverancier(s) met US-indicatie; 2 leverancier(s) met hoog datarisico; netwerkjurisdictie onbekend
www.huizen.nl,P1,"A, direct gemeentelijk",Mogelijk,"SIMgroep, SIMgroep CDN, Sentia","Gemeentelijke webleverancier, Hosting/Cloud","Europese hostingindicatie, locatie verifieren | Nederlandse leverancier, hostingketen verifieren",4,1,2,1,1,2,"frontend_scripts, network_hosting","YouTube, SIMgroep, Siteimprove, ReadSpeaker",1 P1-verificatievragen; 1 leverancier(s) met US-indicatie; 2 leverancier(s) met hoog datarisico
metropoolregioamsterdam.nl,P1,"D, leverancier of te verifieren",Te beoordelen,Onbekend,Onbekend,Onbekend,1,1,1,1,0,0,mx_spf,Microsoft 365 / Exchange Online,1 P1-verificatievragen; 1 leverancier(s) met US-indicatie; 1 leverancier(s) met hoog datarisico; netwerkjurisdictie onbekend
regionaalenergieloket.nl,P1,"D, leverancier of te verifieren",Te beoordelen,Cloudflare,CDN/WAF,"VS leverancier, wereldwijde edge",1,1,1,1,0,0,network_hosting,Cloudflare,1 P1-verificatievragen; 1 leverancier(s) met US-indicatie; 1 leverancier(s) met hoog datarisico
ris.gemeenteraadhuizen.nl,P1,"A, direct gemeentelijk",Mogelijk,Onbekend,Onbekend,Onbekend,2,1,1,1,0,1,frontend_scripts,"YouTube, ReadSpeaker",1 P1-verificatievragen; 1 leverancier(s) met US-indicatie; 1 leverancier(s) met hoog datarisico; netwerkjurisdictie onbekend
vrgooienvechtstreek.nl,P1,"C, verbonden partij of samenwerking",Te beoordelen,Google,Cloud/SaaS,"VS leverancier, regio en dataflow verifieren",1,1,1,1,0,0,mx_spf,Microsoft 365 / Exchange Online,1 P1-verificatievragen; 1 leverancier(s) met US-indicatie; 1 leverancier(s) met hoog datarisico
formulieren.huizen.nl,P2,"A, direct gemeentelijk",Waarschijnlijk,Google,Cloud/SaaS,"VS leverancier, regio en dataflow verifieren",1,1,0,0,1,0,frontend_scripts,Google APIs,1 P2-verificatievragen; 1 leverancier(s) met US-indicatie
