domain,service_layer,supplier,supplier_type,indicator,evidence_source,evidence_value,jurisdiction_group,parent_company_country,data_risk,typical_data,personal_data_likelihood,public_service_layer,confidence,verification_needed,verification_question
huizen.nl,mx_spf,TOPdesk,service management / SaaS,topdesk.net,spf_includes,"_spf.formulierenserver.nl, _spf.sc.nines.nl, _spf.zivver.com, spf.flowmailer.net, spf.pinkprivate.cloud, spf.protection.outlook.com, spf.simgroephosting.nl, spf.topdesk.net",NL/EU supplier,NL,medium/high,"tickets, contact details, internal service data",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke TOPdesk-omgeving wordt gebruikt, waar staat deze gehost en welke subverwerkers gelden?"
huizen.nl,mx_spf,Flowmailer,transactional email,flowmailer.net,spf,v=spf1 ip4:194.13.163.7 ip4:194.53.14.66 ip4:20.229.91.213 ip4:193.173.63.210/28 ip4:195.72.120.109 ip4:195.72.120.110 ip4:185.42.57.140 ip4:213.125.7.98/29 ip4:45.80.232.21 ip4:195.72.120.192 ip6:2001:678:56c:1:195:72:120:192 include:_spf.sc.nines.nl include:_spf.zivver.com include:spf.topdesk.net include:spf.protection.outlook.com include:spf.simgroephosting.nl include:spf.flowmailer.net include:spf.pinkprivate.cloud a:malengo.exception.mx ip4:194.13.163.7 ip4:194.53.14.66 include:_spf.formuli,NL/EU supplier,NL,medium/high,"email content, recipient metadata, delivery logs",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke mailstromen lopen via Flowmailer en waar worden inhoud, metadata en logs verwerkt?"
huizen.nl,mx_spf,Flowmailer,transactional email,flowmailer.net,spf_includes,"_spf.formulierenserver.nl, _spf.sc.nines.nl, _spf.zivver.com, spf.flowmailer.net, spf.pinkprivate.cloud, spf.protection.outlook.com, spf.simgroephosting.nl, spf.topdesk.net",NL/EU supplier,NL,medium/high,"email content, recipient metadata, delivery logs",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke mailstromen lopen via Flowmailer en waar worden inhoud, metadata en logs verwerkt?"
huizen.nl,mx_spf,Formulierenserver,forms / e-government SaaS,formulierenserver.nl,spf,v=spf1 ip4:194.13.163.7 ip4:194.53.14.66 ip4:20.229.91.213 ip4:193.173.63.210/28 ip4:195.72.120.109 ip4:195.72.120.110 ip4:185.42.57.140 ip4:213.125.7.98/29 ip4:45.80.232.21 ip4:195.72.120.192 ip6:2001:678:56c:1:195:72:120:192 include:_spf.sc.nines.nl include:_spf.zivver.com include:spf.topdesk.net include:spf.protection.outlook.com include:spf.simgroephosting.nl include:spf.flowmailer.net include:spf.pinkprivate.cloud a:malengo.exception.mx ip4:194.13.163.7 ip4:194.53.14.66 include:_spf.formuli,NL/EU supplier,NL,high,"form submissions, contact details, potentially sensitive citizen data",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke formulieren lopen via Formulierenserver, waar worden inzendingen, bijlagen en logs opgeslagen?"
huizen.nl,mx_spf,Formulierenserver,forms / e-government SaaS,formulierenserver.nl,spf_includes,"_spf.formulierenserver.nl, _spf.sc.nines.nl, _spf.zivver.com, spf.flowmailer.net, spf.pinkprivate.cloud, spf.protection.outlook.com, spf.simgroephosting.nl, spf.topdesk.net",NL/EU supplier,NL,high,"form submissions, contact details, potentially sensitive citizen data",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke formulieren lopen via Formulierenserver, waar worden inzendingen, bijlagen en logs opgeslagen?"
huizen.nl,network_hosting,SIMgroep,municipal website / CMS / CDN,simgroep,spf,v=spf1 ip4:194.13.163.7 ip4:194.53.14.66 ip4:20.229.91.213 ip4:193.173.63.210/28 ip4:195.72.120.109 ip4:195.72.120.110 ip4:185.42.57.140 ip4:213.125.7.98/29 ip4:45.80.232.21 ip4:195.72.120.192 ip6:2001:678:56c:1:195:72:120:192 include:_spf.sc.nines.nl include:_spf.zivver.com include:spf.topdesk.net include:spf.protection.outlook.com include:spf.simgroephosting.nl include:spf.flowmailer.net include:spf.pinkprivate.cloud a:malengo.exception.mx ip4:194.13.163.7 ip4:194.53.14.66 include:_spf.formuli,NL/EU supplier,NL,medium/high,"website content, forms, usage logs, citizen interactions possible",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke SIMgroep-diensten worden gebruikt en welke hosting, CDN, logging en subverwerkers zijn van toepassing?"
huizen.nl,network_hosting,SIMgroep,municipal website / CMS / CDN,simgroep,spf_includes,"_spf.formulierenserver.nl, _spf.sc.nines.nl, _spf.zivver.com, spf.flowmailer.net, spf.pinkprivate.cloud, spf.protection.outlook.com, spf.simgroephosting.nl, spf.topdesk.net",NL/EU supplier,NL,medium/high,"website content, forms, usage logs, citizen interactions possible",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke SIMgroep-diensten worden gebruikt en welke hosting, CDN, logging en subverwerkers zijn van toepassing?"
huizen.nl,network_hosting,SIMgroep,municipal website / CMS / CDN,simgroep,mx_providers,"Flowmailer, Formulierenserver, Microsoft 365 / Exchange Online, Nines, Pink Private Cloud, SIMgroep, TOPdesk, Zivver",NL/EU supplier,NL,medium/high,"website content, forms, usage logs, citizen interactions possible",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke SIMgroep-diensten worden gebruikt en welke hosting, CDN, logging en subverwerkers zijn van toepassing?"
huizen.nl,network_hosting,SIMgroep,municipal website / CMS / CDN,simgroep,mail_provider_hint,"Flowmailer, Formulierenserver, Microsoft 365 / Exchange Online, Nines, Pink Private Cloud, SIMgroep, TOPdesk, Zivver",NL/EU supplier,NL,medium/high,"website content, forms, usage logs, citizen interactions possible",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke SIMgroep-diensten worden gebruikt en welke hosting, CDN, logging en subverwerkers zijn van toepassing?"
huizen.nl,network_hosting,SIMgroep,municipal website / CMS / CDN,simgroep,network_provider_hint,SIMgroep CDN,NL/EU supplier,NL,medium/high,"website content, forms, usage logs, citizen interactions possible",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke SIMgroep-diensten worden gebruikt en welke hosting, CDN, logging en subverwerkers zijn van toepassing?"
huizen.nl,frontend_scripts,Siteimprove,analytics / accessibility / quality monitoring,siteimprove,tracker_hints,"leaflet, matomo, piwik, readspeaker, simanalytics, siteimprove, youtube.com",EU supplier with international presence,DK/US presence,medium,"website usage, quality metrics, browser metadata possible",Mogelijk,"A, direct gemeentelijk",hoog,ja,Welke Siteimprove-modules zijn actief en worden persoonsgegevens of identifiers verwerkt?
huizen.nl,frontend_scripts,ReadSpeaker,accessibility / text-to-speech,readspeaker,tracker_hints,"leaflet, matomo, piwik, readspeaker, simanalytics, siteimprove, youtube.com",EU supplier with international presence,NL/International,low/medium,"requested page text, IP address, browser metadata possible",Mogelijk,"A, direct gemeentelijk",hoog,ja,Welke gegevens worden door ReadSpeaker verwerkt en waar worden logs opgeslagen?
www.huizen.nl,frontend_scripts,YouTube,embedded media,youtube.com,tracker_hints,"leaflet, matomo, piwik, readspeaker, simanalytics, siteimprove, youtube.com",US supplier,US,medium/high,"browser metadata, viewing data, cookies possible",Mogelijk,"A, direct gemeentelijk",hoog,ja,Worden YouTube embeds privacyvriendelijk geladen en is toestemming of een alternatief ingericht?
www.huizen.nl,network_hosting,SIMgroep,municipal website / CMS / CDN,simgroep,network_provider_hint,"SIMgroep, SIMgroep CDN, Sentia",NL/EU supplier,NL,medium/high,"website content, forms, usage logs, citizen interactions possible",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke SIMgroep-diensten worden gebruikt en welke hosting, CDN, logging en subverwerkers zijn van toepassing?"
www.huizen.nl,network_hosting,SIMgroep,municipal website / CMS / CDN,simgroep,cname,huizen001.simgroephosting03.nl,NL/EU supplier,NL,medium/high,"website content, forms, usage logs, citizen interactions possible",Mogelijk,"A, direct gemeentelijk",hoog,ja,"Welke SIMgroep-diensten worden gebruikt en welke hosting, CDN, logging en subverwerkers zijn van toepassing?"
www.huizen.nl,frontend_scripts,Siteimprove,analytics / accessibility / quality monitoring,siteimprove,tracker_hints,"leaflet, matomo, piwik, readspeaker, simanalytics, siteimprove, youtube.com",EU supplier with international presence,DK/US presence,medium,"website usage, quality metrics, browser metadata possible",Mogelijk,"A, direct gemeentelijk",hoog,ja,Welke Siteimprove-modules zijn actief en worden persoonsgegevens of identifiers verwerkt?
www.huizen.nl,frontend_scripts,ReadSpeaker,accessibility / text-to-speech,readspeaker,tracker_hints,"leaflet, matomo, piwik, readspeaker, simanalytics, siteimprove, youtube.com",EU supplier with international presence,NL/International,low/medium,"requested page text, IP address, browser metadata possible",Mogelijk,"A, direct gemeentelijk",hoog,ja,Welke gegevens worden door ReadSpeaker verwerkt en waar worden logs opgeslagen?
formulieren.huizen.nl,frontend_scripts,Google APIs,frontend / API / SaaS,googleapis.com,external_script_domains,"fonts.googleapis.com, fonts.gstatic.com",US supplier,US,medium,"browser metadata, IP address, request metadata, usage data possible",Waarschijnlijk,"A, direct gemeentelijk",hoog,ja,"Welke Google-diensten worden geladen, met welk doel, en is lokaal hosten of Europese alternatieven mogelijk?"
maatschappelijkezaken.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,protection.outlook.com,mx,0 maatschappelijkezaken-nl.mail.protection.outlook.com,"US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Waarschijnlijk,"B, uitvoeringssite",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
maatschappelijkezaken.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,protection.outlook.com,spf,v=spf1 a mx include:_spf.hostnet.nl include:spf.protection.outlook.com -all,"US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Waarschijnlijk,"B, uitvoeringssite",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
maatschappelijkezaken.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,protection.outlook.com,spf_includes,"_spf.hostnet.nl, spf.protection.outlook.com","US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Waarschijnlijk,"B, uitvoeringssite",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
maatschappelijkezaken.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,outlook.com,mx,0 maatschappelijkezaken-nl.mail.protection.outlook.com,"US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Waarschijnlijk,"B, uitvoeringssite",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
maatschappelijkezaken.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,outlook.com,spf,v=spf1 a mx include:_spf.hostnet.nl include:spf.protection.outlook.com -all,"US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Waarschijnlijk,"B, uitvoeringssite",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
maatschappelijkezaken.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,outlook.com,spf_includes,"_spf.hostnet.nl, spf.protection.outlook.com","US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Waarschijnlijk,"B, uitvoeringssite",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
maatschappelijkezaken.nl,network_hosting,SIMgroep,municipal website / CMS / CDN,simgroep,network_provider_hint,"Hostnet, SIMgroep CDN",NL/EU supplier,NL,medium/high,"website content, forms, usage logs, citizen interactions possible",Waarschijnlijk,"B, uitvoeringssite",hoog,ja,"Welke SIMgroep-diensten worden gebruikt en welke hosting, CDN, logging en subverwerkers zijn van toepassing?"
maatschappelijkezaken.nl,frontend_scripts,Siteimprove,analytics / accessibility / quality monitoring,siteimprove,tracker_hints,"leaflet, matomo, piwik, readspeaker, simanalytics, siteimprove",EU supplier with international presence,DK/US presence,medium,"website usage, quality metrics, browser metadata possible",Waarschijnlijk,"B, uitvoeringssite",hoog,ja,Welke Siteimprove-modules zijn actief en worden persoonsgegevens of identifiers verwerkt?
maatschappelijkezaken.nl,frontend_scripts,ReadSpeaker,accessibility / text-to-speech,readspeaker,tracker_hints,"leaflet, matomo, piwik, readspeaker, simanalytics, siteimprove",EU supplier with international presence,NL/International,low/medium,"requested page text, IP address, browser metadata possible",Waarschijnlijk,"B, uitvoeringssite",hoog,ja,Welke gegevens worden door ReadSpeaker verwerkt en waar worden logs opgeslagen?
belastingenhbl.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,protection.outlook.com,mx,0 belastingenhbl-nl.mail.protection.outlook.com,"US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Waarschijnlijk,"B, uitvoeringssite",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
belastingenhbl.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,outlook.com,mx,0 belastingenhbl-nl.mail.protection.outlook.com,"US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Waarschijnlijk,"B, uitvoeringssite",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
belastingenhbl.nl,network_hosting,SIMgroep,municipal website / CMS / CDN,simgroep,network_provider_hint,"Hostnet, SIMgroep CDN",NL/EU supplier,NL,medium/high,"website content, forms, usage logs, citizen interactions possible",Waarschijnlijk,"B, uitvoeringssite",hoog,ja,"Welke SIMgroep-diensten worden gebruikt en welke hosting, CDN, logging en subverwerkers zijn van toepassing?"
belastingenhbl.nl,frontend_scripts,Siteimprove,analytics / accessibility / quality monitoring,siteimprove,tracker_hints,"leaflet, matomo, piwik, readspeaker, simanalytics, siteimprove",EU supplier with international presence,DK/US presence,medium,"website usage, quality metrics, browser metadata possible",Waarschijnlijk,"B, uitvoeringssite",hoog,ja,Welke Siteimprove-modules zijn actief en worden persoonsgegevens of identifiers verwerkt?
belastingenhbl.nl,frontend_scripts,ReadSpeaker,accessibility / text-to-speech,readspeaker,tracker_hints,"leaflet, matomo, piwik, readspeaker, simanalytics, siteimprove",EU supplier with international presence,NL/International,low/medium,"requested page text, IP address, browser metadata possible",Waarschijnlijk,"B, uitvoeringssite",hoog,ja,Welke gegevens worden door ReadSpeaker verwerkt en waar worden logs opgeslagen?
ris.gemeenteraadhuizen.nl,frontend_scripts,YouTube,embedded media,youtube.com,tracker_hints,"readspeaker, youtube.com",US supplier,US,medium/high,"browser metadata, viewing data, cookies possible",Mogelijk,"A, direct gemeentelijk",hoog,ja,Worden YouTube embeds privacyvriendelijk geladen en is toestemming of een alternatief ingericht?
ris.gemeenteraadhuizen.nl,frontend_scripts,ReadSpeaker,accessibility / text-to-speech,readspeaker,external_script_domains,"cdn1.readspeaker.com, static.gemeenteoplossingen.nl",EU supplier with international presence,NL/International,low/medium,"requested page text, IP address, browser metadata possible",Mogelijk,"A, direct gemeentelijk",hoog,ja,Welke gegevens worden door ReadSpeaker verwerkt en waar worden logs opgeslagen?
ris.gemeenteraadhuizen.nl,frontend_scripts,ReadSpeaker,accessibility / text-to-speech,readspeaker,tracker_hints,"readspeaker, youtube.com",EU supplier with international presence,NL/International,low/medium,"requested page text, IP address, browser metadata possible",Mogelijk,"A, direct gemeentelijk",hoog,ja,Welke gegevens worden door ReadSpeaker verwerkt en waar worden logs opgeslagen?
sro.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,protection.outlook.com,spf,v=spf1 ip4:212.57.57.242 ip4:45.139.160.33 ip6:2a02:690:4000::242 ip4:212.57.57.70 include:spf.ess.de.barracudanetworks.com include:spf.afas.online include:spf.mailjet.com include:windows.ppibv.nl include:_spf.axxerion.com include:smtp.dataim.nl include:spf.EU.exclaimer.net include:spf1.serasoft.com include:spf.protection.outlook.com -all,"US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Mogelijk,"C, verbonden partij of samenwerking",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
sro.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,protection.outlook.com,spf_includes,"_spf.axxerion.com, smtp.dataim.nl, spf.EU.exclaimer.net, spf.afas.online, spf.ess.de.barracudanetworks.com, spf.mailjet.com, spf.protection.outlook.com, spf1.serasoft.com, windows.ppibv.nl","US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Mogelijk,"C, verbonden partij of samenwerking",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
sro.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,outlook.com,spf,v=spf1 ip4:212.57.57.242 ip4:45.139.160.33 ip6:2a02:690:4000::242 ip4:212.57.57.70 include:spf.ess.de.barracudanetworks.com include:spf.afas.online include:spf.mailjet.com include:windows.ppibv.nl include:_spf.axxerion.com include:smtp.dataim.nl include:spf.EU.exclaimer.net include:spf1.serasoft.com include:spf.protection.outlook.com -all,"US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Mogelijk,"C, verbonden partij of samenwerking",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
sro.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,outlook.com,spf_includes,"_spf.axxerion.com, smtp.dataim.nl, spf.EU.exclaimer.net, spf.afas.online, spf.ess.de.barracudanetworks.com, spf.mailjet.com, spf.protection.outlook.com, spf1.serasoft.com, windows.ppibv.nl","US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Mogelijk,"C, verbonden partij of samenwerking",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
sro.nl,frontend_scripts,Google APIs,frontend / API / SaaS,googleapis.com,external_script_domains,"ajax.googleapis.com, apis.google.com, b1307353.smushcdn.com, demo.recras.nl, fonts.googleapis.com, fonts.gstatic.com, gmpg.org, google-analytics.com, m15.mailplus.nl, maps.googleapis.com, s.gravatar.com, ssl.google-analytics.com, static.getclicky.com, static.mailplus.nl, www.google-analytics.com, www.gstatic.com, youtube.com",US supplier,US,medium,"browser metadata, IP address, request metadata, usage data possible",Mogelijk,"C, verbonden partij of samenwerking",hoog,ja,"Welke Google-diensten worden geladen, met welk doel, en is lokaal hosten of Europese alternatieven mogelijk?"
sro.nl,frontend_scripts,Google Tag Manager,tag management / analytics enabler,googletagmanager.com,tracker_hints,"doubleclick.net, facebook.net, google-analytics.com, googletagmanager.com, hotjar.com, matomo, vimeo.com, youtube.com",US supplier,US,high,"browser metadata, event data, tags loaded by configuration",Mogelijk,"C, verbonden partij of samenwerking",hoog,ja,Welke tags zijn actief binnen Google Tag Manager en welke persoonsgegevens of identifiers worden verwerkt?
sro.nl,frontend_scripts,Google Analytics,analytics,google-analytics.com,external_script_domains,"ajax.googleapis.com, apis.google.com, b1307353.smushcdn.com, demo.recras.nl, fonts.googleapis.com, fonts.gstatic.com, gmpg.org, google-analytics.com, m15.mailplus.nl, maps.googleapis.com, s.gravatar.com, ssl.google-analytics.com, static.getclicky.com, static.mailplus.nl, www.google-analytics.com, www.gstatic.com, youtube.com",US supplier,US,high,"analytics identifiers, browser metadata, usage data",Mogelijk,"C, verbonden partij of samenwerking",hoog,ja,"Wordt Google Analytics gebruikt, hoe is IP-anonimisering ingericht, en welke doorgiftewaarborgen bestaan?"
sro.nl,frontend_scripts,Google Analytics,analytics,google-analytics.com,tracker_hints,"doubleclick.net, facebook.net, google-analytics.com, googletagmanager.com, hotjar.com, matomo, vimeo.com, youtube.com",US supplier,US,high,"analytics identifiers, browser metadata, usage data",Mogelijk,"C, verbonden partij of samenwerking",hoog,ja,"Wordt Google Analytics gebruikt, hoe is IP-anonimisering ingericht, en welke doorgiftewaarborgen bestaan?"
sro.nl,frontend_scripts,YouTube,embedded media,youtube.com,external_script_domains,"ajax.googleapis.com, apis.google.com, b1307353.smushcdn.com, demo.recras.nl, fonts.googleapis.com, fonts.gstatic.com, gmpg.org, google-analytics.com, m15.mailplus.nl, maps.googleapis.com, s.gravatar.com, ssl.google-analytics.com, static.getclicky.com, static.mailplus.nl, www.google-analytics.com, www.gstatic.com, youtube.com",US supplier,US,medium/high,"browser metadata, viewing data, cookies possible",Mogelijk,"C, verbonden partij of samenwerking",hoog,ja,Worden YouTube embeds privacyvriendelijk geladen en is toestemming of een alternatief ingericht?
sro.nl,frontend_scripts,YouTube,embedded media,youtube.com,tracker_hints,"doubleclick.net, facebook.net, google-analytics.com, googletagmanager.com, hotjar.com, matomo, vimeo.com, youtube.com",US supplier,US,medium/high,"browser metadata, viewing data, cookies possible",Mogelijk,"C, verbonden partij of samenwerking",hoog,ja,Worden YouTube embeds privacyvriendelijk geladen en is toestemming of een alternatief ingericht?
regiogv.nl,mx_spf,Microsoft 365 / Exchange Online,mail/cloud,protection.outlook.com,spf,v=spf1 a mx include:spf.regiogv.nl include:_spf.zivver.com include:_spf.zorgmail.nl include:spf.eprov.nl include:spf.protection.outlook.com include:spf.decoscloud.com include:lms.plusport.com -all,"US supplier, EU region possible",US,high,"email content, email metadata, account identifiers",Te beoordelen,"C, verbonden partij of samenwerking",hoog,ja,"Welke Microsoft 365 tenantregio, workloads, logginglocaties, supporttoegang en subverwerkers zijn van toepassing?"
