,domain,layer,personal_data_likelihood,risk_score,hosting_hint,sovereignty_hint,mail_provider_hint,mail_sovereignty_hint,risk_notes
11,dekringloper.nl,"D, leverancier of te verifieren",Te beoordelen,38,Onbekend,Onbekend,Zivver,"Nederlandse leverancier, subverwerkers controleren",HSTS ontbreekt; CSP ontbreekt; security.txt ontbreekt; Externe scripts of trackingindicaties: googletagmanager.com
20,energieloketten.nl,"D, leverancier of te verifieren",Te beoordelen,37,Cloudflare,"VS leverancier, wereldwijde edge, dataflow nader beoordelen","Mailgun, Microsoft 365 / Exchange Online","VS leverancier, dataflow controleren | VS leverancier, tenantregio en contractuele waarborgen nodig","DMARC staat op none; security.txt ontbreekt; Soevereiniteitsvraag: VS leverancier, wereldwijde edge, dataflow nader beoordelen; Mailsoevereiniteitsvraag: VS leverancier, dataflow controleren | VS leverancier, tenantregio en contractuele waarborgen nodig; SPF gebruikt softfail"
2,formulieren.huizen.nl,"A, direct gemeentelijk",Waarschijnlijk,35,Onbekend,Onbekend,,,DMARC ontbreekt; SPF ontbreekt; Waarschijnlijk persoonsgegevens
23,readspeaker.com,"D, leverancier of te verifieren",Te beoordelen,35,Cloudflare,"VS leverancier, wereldwijde edge, dataflow nader beoordelen",Google Workspace of Google maildiensten,"VS leverancier, regio en dataflow controleren","security.txt ontbreekt; Externe scripts of trackingindicaties: googletagmanager.com, hotjar.com, readspeaker, youtube.com; Soevereiniteitsvraag: VS leverancier, wereldwijde edge, dataflow nader beoordelen; Mailsoevereiniteitsvraag: VS leverancier, regio en dataflow controleren"
21,regionaalenergieloket.nl,"D, leverancier of te verifieren",Te beoordelen,34,Cloudflare,"VS leverancier, wereldwijde edge, dataflow nader beoordelen",Google Workspace of Google maildiensten,"VS leverancier, regio en dataflow controleren","DMARC staat op none; security.txt ontbreekt; Soevereiniteitsvraag: VS leverancier, wereldwijde edge, dataflow nader beoordelen; Mailsoevereiniteitsvraag: VS leverancier, regio en dataflow controleren"
5,ris.gemeenteraadhuizen.nl,"A, direct gemeentelijk",Mogelijk,33,Onbekend,Onbekend,,,"DMARC ontbreekt; SPF ontbreekt; Externe scripts of trackingindicaties: readspeaker, youtube.com"
4,belastingenhbl.nl,"B, uitvoeringssite",Waarschijnlijk,33,Hostnet,Nederlandse hostingindicatie,Microsoft 365 / Exchange Online,"VS leverancier, tenantregio en contractuele waarborgen nodig","security.txt ontbreekt; Externe scripts of trackingindicaties: leaflet, matomo, piwik, readspeaker, simanalytics, siteimprove; Mailsoevereiniteitsvraag: VS leverancier, tenantregio en contractuele waarborgen nodig; Waarschijnlijk persoonsgegevens"
8,gad.nl,"C, verbonden partij of samenwerking",Mogelijk,31,Onbekend,Onbekend,"Microsoft 365 / Exchange Online, Zivver","Nederlandse leverancier, subverwerkers controleren | VS leverancier, tenantregio en contractuele waarborgen nodig","CSP ontbreekt; Externe scripts of trackingindicaties: googletagmanager.com, youtube.com; Mailsoevereiniteitsvraag: Nederlandse leverancier, subverwerkers controleren | VS leverancier, tenantregio en contractuele waarborgen nodig; SPF gebruikt softfail"
18,visitgooivecht.nl,"D, leverancier of te verifieren",Te beoordelen,30,Onbekend,Onbekend,"Microsoft 365 / Exchange Online, Zivver","Nederlandse leverancier, subverwerkers controleren | VS leverancier, tenantregio en contractuele waarborgen nodig","DMARC staat op none; security.txt ontbreekt; Externe scripts of trackingindicaties: googletagmanager.com, youtube.com; Mailsoevereiniteitsvraag: Nederlandse leverancier, subverwerkers controleren | VS leverancier, tenantregio en contractuele waarborgen nodig"
7,regiogv.nl,"C, verbonden partij of samenwerking",Te beoordelen,28,Onbekend,Onbekend,"Microsoft 365 / Exchange Online, Zivver","Nederlandse leverancier, subverwerkers controleren | VS leverancier, tenantregio en contractuele waarborgen nodig","CSP ontbreekt; Externe scripts of trackingindicaties: googletagmanager.com, vimeo.com; Mailsoevereiniteitsvraag: Nederlandse leverancier, subverwerkers controleren | VS leverancier, tenantregio en contractuele waarborgen nodig"
0,huizen.nl,"A, direct gemeentelijk",Mogelijk,26,Onbekend,Onbekend,"Flowmailer, Formulierenserver, Microsoft 365 / Exchange Online, Nines, Pink Private Cloud, SIMgroep, TOPdesk, Zivver","Nederlandse gemeentelijke webleverancier, hostingketen controleren | Nederlandse hostingindicatie, contractueel verifieren | Nederlandse leverancier, hosting en subverwerkers controleren | Nederlandse leverancier, mailrouting en subverwerkers controleren | Nederlandse leverancier, persoonsgegevens waarschijnlijk, subverwerkers controleren | Nederlandse leverancier, subverwerkers controleren | Nederlandse of Europese cloudindicatie, contractueel verifieren | VS leverancier, tenantregio en contractuele waarborgen nodig","security.txt ontbreekt; Externe scripts of trackingindicaties: leaflet, matomo, piwik, readspeaker, simanalytics, siteimprove, youtube.com; Mailsoevereiniteitsvraag: Nederlandse gemeentelijke webleverancier, hostingketen controleren | Nederlandse hostingindicatie, contractueel verifieren | Nederlandse leverancier, hosting en subverwerkers controleren | Nederlandse leverancier, mailrouting en subverwerkers controleren | Nederlandse leverancier, persoonsgegevens waarschijnlijk, subverwerkers controleren | Nederlandse leverancier, subverwerkers controleren | Nederlandse of Europese cloudindicatie, contractueel verifieren | VS leverancier, tenantregio en contractuele waarborgen nodig; SPF gebruikt softfail"
12,ofgv.nl,"C, verbonden partij of samenwerking",Mogelijk,23,Onbekend,Onbekend,"Microsoft 365 / Exchange Online, TOPdesk","Nederlandse leverancier, hosting en subverwerkers controleren | VS leverancier, tenantregio en contractuele waarborgen nodig","security.txt ontbreekt; Externe scripts of trackingindicaties: piwik; Mailsoevereiniteitsvraag: Nederlandse leverancier, hosting en subverwerkers controleren | VS leverancier, tenantregio en contractuele waarborgen nodig"
15,bngbank.nl,"D, leverancier of te verifieren",Te beoordelen,23,Onbekend,Onbekend,Microsoft 365 / Exchange Online,"VS leverancier, tenantregio en contractuele waarborgen nodig","security.txt ontbreekt; Externe scripts of trackingindicaties: piwik, youtube.com; Mailsoevereiniteitsvraag: VS leverancier, tenantregio en contractuele waarborgen nodig"
13,archiefgooienvechtstreek.nl,"C, verbonden partij of samenwerking",Te beoordelen,18,Onbekend,Onbekend,Microsoft 365 / Exchange Online,"VS leverancier, tenantregio en contractuele waarborgen nodig","Externe scripts of trackingindicaties: siteimprove; Mailsoevereiniteitsvraag: VS leverancier, tenantregio en contractuele waarborgen nodig"
